Iliados_1.txt Iliados_10.txt Iliados_11.txt Iliados_12.txt Iliados_13.txt Iliados_14.txt Iliados_15.txt Iliados_16.txt Iliados_17.txt Iliados_18.txt Iliados_19.txt Iliados_2.txt Iliados_20.txt Iliados_21.txt Iliados_22.txt Iliados_23.txt Iliados_24.txt Iliados_3.txt Iliados_4.txt Iliados_5.txt Iliados_6.txt Iliados_7.txt Iliados_8.txt Iliados_9.txt
Iliados_1.txt 0 0.396 0.4 0.442 0.446 0.384 0.372 0.448 0.446 0.404 0.378 0.418 0.448 0.426 0.44 0.42 0.37 0.452 0.428 0.412 0.436 0.434 0.396 0.346
Iliados_10.txt 0.396 0 0.356 0.44 0.436 0.398 0.406 0.438 0.408 0.432 0.404 0.416 0.468 0.446 0.44 0.414 0.412 0.426 0.398 0.386 0.408 0.432 0.378 0.396
Iliados_11.txt 0.4 0.356 0 0.342 0.354 0.366 0.338 0.344 0.346 0.39 0.39 0.386 0.408 0.36 0.424 0.348 0.386 0.372 0.352 0.348 0.374 0.368 0.326 0.364
Iliados_12.txt 0.442 0.44 0.342 0 0.378 0.408 0.32 0.356 0.368 0.412 0.44 0.436 0.438 0.424 0.404 0.414 0.42 0.428 0.394 0.378 0.414 0.39 0.344 0.402
Iliados_13.txt 0.446 0.436 0.354 0.378 0 0.39 0.324 0.348 0.34 0.404 0.428 0.418 0.374 0.37 0.42 0.396 0.434 0.416 0.378 0.332 0.406 0.394 0.338 0.424
Iliados_14.txt 0.384 0.398 0.366 0.408 0.39 0 0.326 0.41 0.416 0.412 0.4 0.424 0.45 0.388 0.408 0.412 0.384 0.404 0.37 0.384 0.398 0.428 0.356 0.384
Iliados_15.txt 0.372 0.406 0.338 0.32 0.324 0.326 0 0.348 0.33 0.38 0.4 0.412 0.38 0.358 0.378 0.376 0.37 0.394 0.354 0.334 0.368 0.366 0.31 0.386
Iliados_16.txt 0.448 0.438 0.344 0.356 0.348 0.41 0.348 0 0.338 0.388 0.42 0.434 0.39 0.358 0.394 0.394 0.394 0.43 0.394 0.348 0.39 0.404 0.356 0.424
Iliados_17.txt 0.446 0.408 0.346 0.368 0.34 0.416 0.33 0.338 0 0.402 0.43 0.434 0.396 0.378 0.416 0.402 0.41 0.426 0.372 0.348 0.392 0.374 0.352 0.416
Iliados_18.txt 0.404 0.432 0.39 0.412 0.404 0.412 0.38 0.388 0.402 0 0.406 0.438 0.422 0.384 0.39 0.372 0.364 0.428 0.402 0.398 0.406 0.406 0.378 0.376
Iliados_19.txt 0.378 0.404 0.39 0.44 0.428 0.4 0.4 0.42 0.43 0.406 0 0.422 0.43 0.416 0.43 0.378 0.396 0.404 0.408 0.418 0.442 0.416 0.396 0.346
Iliados_2.txt 0.418 0.416 0.386 0.436 0.418 0.424 0.412 0.434 0.434 0.438 0.422 0 0.464 0.444 0.47 0.422 0.432 0.412 0.382 0.404 0.428 0.402 0.392 0.39
Iliados_20.txt 0.448 0.468 0.408 0.438 0.374 0.45 0.38 0.39 0.396 0.422 0.43 0.464 0 0.356 0.394 0.414 0.414 0.424 0.43 0.35 0.416 0.43 0.398 0.438
Iliados_21.txt 0.426 0.446 0.36 0.424 0.37 0.388 0.358 0.358 0.378 0.384 0.416 0.444 0.356 0 0.384 0.384 0.398 0.44 0.384 0.358 0.398 0.438 0.37 0.41
Iliados_22.txt 0.44 0.44 0.424 0.404 0.42 0.408 0.378 0.394 0.416 0.39 0.43 0.47 0.394 0.384 0 0.412 0.362 0.442 0.438 0.408 0.4 0.424 0.392 0.402
Iliados_23.txt 0.42 0.414 0.348 0.414 0.396 0.412 0.376 0.394 0.402 0.372 0.378 0.422 0.414 0.384 0.412 0 0.386 0.402 0.402 0.39 0.408 0.396 0.37 0.364
Iliados_24.txt 0.37 0.412 0.386 0.42 0.434 0.384 0.37 0.394 0.41 0.364 0.396 0.432 0.414 0.398 0.362 0.386 0 0.422 0.41 0.4 0.388 0.416 0.386 0.332
Iliados_3.txt 0.452 0.426 0.372 0.428 0.416 0.404 0.394 0.43 0.426 0.428 0.404 0.412 0.424 0.44 0.442 0.402 0.422 0 0.372 0.382 0.394 0.394 0.394 0.388
Iliados_4.txt 0.428 0.398 0.352 0.394 0.378 0.37 0.354 0.394 0.372 0.402 0.408 0.382 0.43 0.384 0.438 0.402 0.41 0.372 0 0.362 0.376 0.394 0.348 0.384
Iliados_5.txt 0.412 0.386 0.348 0.378 0.332 0.384 0.334 0.348 0.348 0.398 0.418 0.404 0.35 0.358 0.408 0.39 0.4 0.382 0.362 0 0.362 0.398 0.312 0.42
Iliados_6.txt 0.436 0.408 0.374 0.414 0.406 0.398 0.368 0.39 0.392 0.406 0.442 0.428 0.416 0.398 0.4 0.408 0.388 0.394 0.376 0.362 0 0.41 0.372 0.402
Iliados_7.txt 0.434 0.432 0.368 0.39 0.394 0.428 0.366 0.404 0.374 0.406 0.416 0.402 0.43 0.438 0.424 0.396 0.416 0.394 0.394 0.398 0.41 0 0.356 0.396
Iliados_8.txt 0.396 0.378 0.326 0.344 0.338 0.356 0.31 0.356 0.352 0.378 0.396 0.392 0.398 0.37 0.392 0.37 0.386 0.394 0.348 0.312 0.372 0.356 0 0.376
Iliados_9.txt 0.346 0.396 0.364 0.402 0.424 0.384 0.386 0.424 0.416 0.376 0.346 0.39 0.438 0.41 0.402 0.364 0.332 0.388 0.384 0.42 0.402 0.396 0.376 0
