Odusseias_1.txt Odusseias_10.txt Odusseias_11.txt Odusseias_12.txt Odusseias_13.txt Odusseias_14.txt Odusseias_15.txt Odusseias_16.txt Odusseias_17.txt Odusseias_18.txt Odusseias_19.txt Odusseias_2.txt Odusseias_20.txt Odusseias_21.txt Odusseias_22.txt Odusseias_23.txt Odusseias_24.txt Odusseias_3.txt Odusseias_4.txt Odusseias_5.txt Odusseias_6.txt Odusseias_7.txt Odusseias_8.txt Odusseias_9.txt
Odusseias_1.txt 0 0.432 0.442 0.496 0.378 0.412 0.332 0.366 0.378 0.414 0.386 0.372 0.392 0.39 0.404 0.406 0.366 0.36 0.384 0.446 0.422 0.4 0.416 0.436
Odusseias_10.txt 0.432 0 0.382 0.374 0.38 0.438 0.376 0.412 0.42 0.436 0.416 0.42 0.414 0.458 0.424 0.424 0.404 0.414 0.348 0.412 0.438 0.408 0.432 0.35
Odusseias_11.txt 0.442 0.382 0 0.446 0.412 0.416 0.41 0.406 0.4 0.428 0.404 0.434 0.414 0.444 0.4 0.446 0.386 0.392 0.362 0.444 0.46 0.44 0.438 0.406
Odusseias_12.txt 0.496 0.374 0.446 0 0.43 0.466 0.456 0.476 0.488 0.496 0.494 0.466 0.49 0.492 0.466 0.494 0.468 0.456 0.428 0.444 0.506 0.454 0.474 0.396
Odusseias_13.txt 0.378 0.38 0.412 0.43 0 0.412 0.368 0.372 0.378 0.404 0.368 0.38 0.39 0.41 0.386 0.382 0.358 0.386 0.35 0.404 0.376 0.338 0.382 0.402
Odusseias_14.txt 0.412 0.438 0.416 0.466 0.412 0 0.38 0.356 0.364 0.438 0.398 0.416 0.416 0.432 0.416 0.44 0.38 0.43 0.392 0.444 0.464 0.414 0.444 0.434
Odusseias_15.txt 0.332 0.376 0.41 0.456 0.368 0.38 0 0.358 0.332 0.4 0.366 0.352 0.356 0.378 0.384 0.394 0.336 0.344 0.276 0.422 0.416 0.374 0.418 0.408
Odusseias_16.txt 0.366 0.412 0.406 0.476 0.372 0.356 0.358 0 0.33 0.362 0.35 0.35 0.344 0.394 0.366 0.394 0.342 0.392 0.338 0.45 0.43 0.4 0.412 0.434
Odusseias_17.txt 0.378 0.42 0.4 0.488 0.378 0.364 0.332 0.33 0 0.356 0.344 0.352 0.332 0.358 0.346 0.37 0.344 0.406 0.332 0.44 0.446 0.392 0.41 0.444
Odusseias_18.txt 0.414 0.436 0.428 0.496 0.404 0.438 0.4 0.362 0.356 0 0.376 0.372 0.352 0.368 0.378 0.406 0.384 0.418 0.382 0.464 0.474 0.394 0.43 0.46
Odusseias_19.txt 0.386 0.416 0.404 0.494 0.368 0.398 0.366 0.35 0.344 0.376 0 0.398 0.352 0.392 0.376 0.35 0.368 0.42 0.35 0.418 0.422 0.396 0.432 0.428
Odusseias_2.txt 0.372 0.42 0.434 0.466 0.38 0.416 0.352 0.35 0.352 0.372 0.398 0 0.374 0.392 0.388 0.408 0.348 0.396 0.364 0.452 0.436 0.378 0.43 0.436
Odusseias_20.txt 0.392 0.414 0.414 0.49 0.39 0.416 0.356 0.344 0.332 0.352 0.352 0.374 0 0.352 0.354 0.402 0.356 0.402 0.354 0.442 0.42 0.394 0.414 0.432
Odusseias_21.txt 0.39 0.458 0.444 0.492 0.41 0.432 0.378 0.394 0.358 0.368 0.392 0.392 0.352 0 0.374 0.396 0.39 0.44 0.378 0.472 0.482 0.41 0.422 0.472
Odusseias_22.txt 0.404 0.424 0.4 0.466 0.386 0.416 0.384 0.366 0.346 0.378 0.376 0.388 0.354 0.374 0 0.396 0.344 0.418 0.35 0.44 0.452 0.42 0.434 0.44
Odusseias_23.txt 0.406 0.424 0.446 0.494 0.382 0.44 0.394 0.394 0.37 0.406 0.35 0.408 0.402 0.396 0.396 0 0.394 0.446 0.39 0.432 0.456 0.43 0.424 0.464
Odusseias_24.txt 0.366 0.404 0.386 0.468 0.358 0.38 0.336 0.342 0.344 0.384 0.368 0.348 0.356 0.39 0.344 0.394 0 0.372 0.316 0.404 0.416 0.354 0.398 0.392
Odusseias_3.txt 0.36 0.414 0.392 0.456 0.386 0.43 0.344 0.392 0.406 0.418 0.42 0.396 0.402 0.44 0.418 0.446 0.372 0 0.338 0.432 0.43 0.392 0.43 0.402
Odusseias_4.txt 0.384 0.348 0.362 0.428 0.35 0.392 0.276 0.338 0.332 0.382 0.35 0.364 0.354 0.378 0.35 0.39 0.316 0.338 0 0.404 0.428 0.402 0.396 0.386
Odusseias_5.txt 0.446 0.412 0.444 0.444 0.404 0.444 0.422 0.45 0.44 0.464 0.418 0.452 0.442 0.472 0.44 0.432 0.404 0.432 0.404 0 0.44 0.406 0.446 0.434
Odusseias_6.txt 0.422 0.438 0.46 0.506 0.376 0.464 0.416 0.43 0.446 0.474 0.422 0.436 0.42 0.482 0.452 0.456 0.416 0.43 0.428 0.44 0 0.37 0.402 0.454
Odusseias_7.txt 0.4 0.408 0.44 0.454 0.338 0.414 0.374 0.4 0.392 0.394 0.396 0.378 0.394 0.41 0.42 0.43 0.354 0.392 0.402 0.406 0.37 0 0.386 0.414
Odusseias_8.txt 0.416 0.432 0.438 0.474 0.382 0.444 0.418 0.412 0.41 0.43 0.432 0.43 0.414 0.422 0.434 0.424 0.398 0.43 0.396 0.446 0.402 0.386 0 0.444
Odusseias_9.txt 0.436 0.35 0.406 0.396 0.402 0.434 0.408 0.434 0.444 0.46 0.428 0.436 0.432 0.472 0.44 0.464 0.392 0.402 0.386 0.434 0.454 0.414 0.444 0
